# mesh name: boxMesh_1
# primitive scorer name: betacount
# iX, iY, iZ, total(value) [percm2], total(val^2), entry
0,0,208,11170000,122100000000,1077
0,0,209,11120000,118600000000,1077
0,0,210,11100000,119400000000,1072
0,0,211,11050000,118300000000,1070
0,0,212,10980000,117400000000,1063
0,0,213,10910000,115900000000,1060
0,0,214,10900000,117000000000,1057
0,0,215,10800000,114200000000,1053
0,0,216,10750000,112700000000,1051
0,0,217,10740000,113000000000,1048
0,0,218,10760000,115000000000,1043
0,0,219,10610000,110700000000,1038
0,0,220,10680000,114000000000,1034
0,0,221,10630000,114100000000,1029
0,0,222,10430000,108300000000,1023
0,0,223,10450000,109300000000,1022
0,0,224,10430000,109100000000,1019
0,0,225,10460000,110600000000,1017
0,0,226,10470000,113900000000,1010
0,0,227,10270000,107900000000,1003
0,0,228,10260000,108000000000,1000
0,0,229,10360000,114000000000,996
0,0,230,10310000,114700000000,989
0,0,231,10240000,110000000000,989
0,0,232,10140000,107800000000,985
0,0,233,10090000,106300000000,982
0,0,234,10070000,107100000000,977
0,0,235,9989999.999999998,105700000000,973
0,0,236,9979999.999999998,105800000000,971
0,0,237,9989999.999999998,108100000000,965
0,0,238,9949999.999999998,107900000000,962
0,0,239,9829999.999999998,103900000000,957
0,0,240,9849999.999999998,105900000000,953
0,0,241,9849999.999999998,106100000000,951
0,0,242,9749999.999999998,102900000000,949
0,0,243,9729999.999999998,102900000000,946
0,0,244,9799999.999999998,106200000000,943
0,0,245,9669999.999999998,102700000000,941
0,0,246,9609999.999999998,101100000000,937
0,0,247,9599999.999999998,102000000000,934
0,0,248,9519999.999999998,100200000000,928
0,0,249,9529999.999999998,101700000000,925
0,0,250,9499999.999999998,101000000000,923
0,0,251,9429999.999999998,99899999999.99997,918
0,0,252,9439999.999999998,100400000000,918
0,0,253,9399999.999999998,99399999999.99997,914
0,0,254,9399999.999999998,100200000000,912
0,0,255,9369999.999999998,98699999999.99997,912
0,0,256,9389999.999999998,99699999999.99997,912
0,0,257,9409999.999999998,101100000000,908
0,0,258,9279999.999999998,98199999999.99997,903
0,0,259,9259999.999999998,98199999999.99997,901
0,0,260,9239999.999999998,98399999999.99997,899
0,0,261,9229999.999999998,99099999999.99997,897
0,0,262,9209999.999999998,98099999999.99997,893
0,0,263,9149999.999999998,97099999999.99997,889
0,0,264,9199999.999999998,99799999999.99997,886
0,0,265,9169999.999999998,100300000000,884
0,0,266,9109999.999999998,98299999999.99997,882
0,0,267,9099999.999999998,98599999999.99997,881
0,0,268,8939999.999999998,93599999999.99997,876
0,0,269,8909999.999999998,93099999999.99997,873
0,0,270,8909999.999999998,95699999999.99997,869
0,0,271,8979999.999999998,97599999999.99997,867
0,0,272,8909999.999999998,94099999999.99997,866
0,0,273,8869999.999999998,93899999999.99997,864
0,0,274,8769999.999999998,91299999999.99997,860
0,0,275,8769999.999999998,93099999999.99997,856
0,0,276,8689999.999999998,91499999999.99997,851
0,0,277,8689999.999999998,92299999999.99997,848
0,0,278,8629999.999999998,90299999999.99997,846
0,0,279,8569999.999999998,89299999999.99997,841
0,0,280,8559999.999999998,89599999999.99997,839
0,0,281,8479999.999999998,87799999999.99997,835
0,0,282,8459999.999999998,87399999999.99997,833
0,0,283,8469999.999999998,88899999999.99997,829
0,0,284,8339999.999999998,84999999999.99997,826
0,0,285,8299999.999999998,84999999999.99997,820
0,0,286,8279999.999999998,84799999999.99997,818
0,0,287,8259999.999999998,84399999999.99997,817
0,0,288,8249999.999999998,85899999999.99997,812
0,0,289,8239999.999999998,86799999999.99997,809
0,0,290,8209999.999999998,85499999999.99997,804
0,0,291,8149999.999999998,85499999999.99997,799
0,0,292,8059999.999999998,83599999999.99997,792
0,0,293,8069999.999999998,85499999999.99997,787
0,0,294,8019999.999999998,83799999999.99997,784
0,0,295,7989999.999999998,83299999999.99998,782
0,0,296,7999999.999999998,84799999999.99997,778
0,0,297,7989999.999999998,86499999999.99997,776
0,0,298,7969999.999999998,84499999999.99997,776
0,0,299,8009999.999999998,86299999999.99997,775
0,0,300,7969999.999999998,85299999999.99997,772
0,0,301,7959999.999999998,85399999999.99997,770
0,0,302,7989999.999999998,87099999999.99997,769
0,0,303,7959999.999999998,87199999999.99997,764
0,0,304,7949999.999999998,86899999999.99997,762
0,0,305,7819999.999999998,82999999999.99997,761
0,0,306,7759999.999999998,81399999999.99998,757
0,0,307,7739999.999999998,81199999999.99998,755
0,0,308,7699999.999999998,80599999999.99998,753
0,0,309,7699999.999999998,80799999999.99998,752
0,0,310,7699999.999999998,80999999999.99998,751
0,0,311,7709999.999999998,81699999999.99998,750
0,0,312,7669999.999999998,81299999999.99998,748
0,0,313,7639999.999999998,80999999999.99998,746
0,0,314,7649999.999999998,81299999999.99997,745
0,0,315,7609999.999999998,80899999999.99998,740
0,0,316,7549999.999999998,79699999999.99998,738
0,0,317,7469999.999999998,77299999999.99998,735
0,0,318,7469999.999999998,78299999999.99998,732
0,0,319,7509999.999999998,79699999999.99998,732
0,0,320,7489999.999999998,79099999999.99998,731
0,0,321,7509999.999999998,80499999999.99998,729
0,0,322,7489999.999999998,82299999999.99997,724
0,0,323,7429999.999999998,80299999999.99998,719
0,0,324,7399999.999999998,79399999999.99998,717
0,0,325,7349999.999999998,78699999999.99998,713
0,0,326,7229999.999999998,75499999999.99998,708
0,0,327,7229999.999999998,76899999999.99998,703
0,0,328,7139999.999999998,74599999999.99998,701
0,0,329,7159999.999999998,75599999999.99998,699
0,0,330,7119999.999999998,75999999999.99998,695
0,0,331,7109999.999999998,75499999999.99998,694
0,0,332,7089999.999999998,75499999999.99998,690
0,0,333,7009999.999999998,73699999999.99998,685
0,0,334,7019999.999999998,75199999999.99998,681
0,0,335,7059999.999999998,77599999999.99998,680
0,0,336,6899999.999999998,71999999999.99998,676
0,0,337,6919999.999999998,72999999999.99998,675
0,0,338,6899999.999999998,73199999999.99998,673
0,0,339,6869999.999999998,72299999999.99998,671
0,0,340,6859999.999999998,72199999999.99998,670
0,0,341,6819999.999999998,71999999999.99998,666
0,0,342,6789999.999999998,71499999999.99998,663
0,0,343,6719999.999999998,71199999999.99998,656
0,0,344,6649999.999999998,69899999999.99998,651
0,0,345,6649999.999999998,71699999999.99998,647
0,0,346,6559999.999999998,68199999999.99998,644
0,0,347,6539999.999999998,67799999999.99998,643
0,0,348,6529999.999999998,67699999999.99998,642
0,0,349,6509999.999999998,67899999999.99998,639
0,0,350,6489999.999999998,67299999999.99998,639
0,0,351,6499999.999999998,67999999999.99998,638
0,0,352,6429999.999999998,65899999999.99998,635
0,0,353,6439999.999999998,66199999999.99998,635
0,0,354,6439999.999999998,66599999999.99998,634
0,0,355,6459999.999999998,67399999999.99998,634
0,0,356,6379999.999999999,65799999999.99998,628
0,0,357,6419999.999999998,67599999999.99998,627
0,0,358,6409999.999999999,67099999999.99998,627
0,0,359,6369999.999999999,65899999999.99998,626
0,0,360,6379999.999999999,66399999999.99998,625
0,0,361,6359999.999999999,66599999999.99998,622
0,0,362,6399999.999999998,67999999999.99998,622
0,0,363,6369999.999999999,67499999999.99998,620
0,0,364,6339999.999999999,66799999999.99998,619
0,0,365,6389999.999999998,70299999999.99998,615
0,0,366,6329999.999999999,69099999999.99998,612
0,0,367,6349999.999999998,69699999999.99998,611
0,0,368,6279999.999999999,67999999999.99998,608
0,0,369,6199999.999999999,65799999999.99998,605
0,0,370,6099999.999999999,62799999999.99998,601
0,0,371,6129999.999999999,65499999999.99998,599
0,0,372,6059999.999999999,62599999999.99998,596
0,0,373,6069999.999999999,63699999999.99998,593
0,0,374,6039999.999999999,64599999999.99998,589
0,0,375,5959999.999999999,61399999999.99998,587
0,0,376,5949999.999999999,62099999999.99998,585
0,0,377,5889999.999999999,60499999999.99998,581
0,0,378,5889999.999999999,60899999999.99998,579
0,0,379,5849999.999999999,59899999999.99998,578
0,0,380,5829999.999999999,59899999999.99998,576
0,0,381,5779999.999999999,58599999999.99998,574
0,0,382,5809999.999999999,59899999999.99998,572
0,0,383,5769999.999999999,59299999999.99998,570
0,0,384,5739999.999999999,58599999999.99998,568
0,0,385,5719999.999999999,58799999999.99998,566
0,0,386,5719999.999999999,59599999999.99998,562
0,0,387,5639999.999999999,57599999999.99998,558
0,0,388,5649999.999999999,58499999999.99998,557
0,0,389,5619999.999999999,57199999999.99998,557
0,0,390,5629999.999999999,58099999999.99998,557
0,0,391,5599999.999999999,57399999999.99998,553
0,0,392,5569999.999999999,56899999999.99998,551
0,0,393,5569999.999999999,57499999999.99998,548
0,0,394,5529999.999999999,57299999999.99998,545
0,0,395,5469999.999999999,57099999999.99998,541
0,0,396,5399999.999999999,54399999999.99998,538
0,0,397,5399999.999999999,56599999999.99998,533
0,0,398,5339999.999999999,54199999999.99998,530
0,0,399,5309999.999999999,53699999999.99998,528
0,0,400,5319999.999999999,55199999999.99998,523
0,0,401,5269999.999999999,53499999999.99998,523
0,0,402,5319999.999999999,55399999999.99998,523
0,0,403,5299999.999999999,56399999999.99998,520
0,0,404,5329999.999999999,57899999999.99998,519
0,0,405,5229999.999999999,54099999999.99998,515
0,0,406,5199999.999999999,53199999999.99998,514
0,0,407,5199999.999999999,53799999999.99998,512
0,0,408,5179999.999999999,53599999999.99998,510
0,0,409,5189999.999999999,53899999999.99998,509
0,0,410,5159999.999999999,53999999999.99998,505
0,0,411,5149999.999999999,53699999999.99998,505
0,0,412,5109999.999999999,52499999999.99998,504
0,0,413,5089999.999999999,52499999999.99998,501
0,0,414,5039999.999999999,51399999999.99998,499
0,0,415,5039999.999999999,51999999999.99998,496
0,0,416,4999999.999999999,51199999999.99998,494
0,0,417,4999999.999999999,51199999999.99998,494
0,0,418,4979999.999999999,51399999999.99998,490
0,0,419,4999999.999999999,52999999999.99998,489
0,0,420,4919999.999999999,50399999999.99998,486
0,0,421,4909999.999999999,50299999999.99998,485
0,0,422,4939999.999999999,51399999999.99998,485
0,0,423,4869999.999999999,49499999999.99998,483
0,0,424,4849999.999999999,49899999999.99998,481
0,0,425,4829999.999999999,49899999999.99998,477
0,0,426,4839999.999999999,51599999999.99998,474
0,0,427,4779999.999999999,50799999999.99998,470
0,0,428,4769999.999999999,50099999999.99998,468
0,0,429,4729999.999999999,49099999999.99998,467
0,0,430,4729999.999999999,50899999999.99998,465
0,0,431,4759999.999999999,50599999999.99998,465
0,0,432,4709999.999999999,49299999999.99998,463
0,0,433,4669999.999999999,48099999999.99998,461
0,0,434,4669999.999999999,49299999999.99998,457
0,0,435,4679999.999999999,49799999999.99998,456
0,0,436,4639999.999999999,48999999999.99998,455
0,0,437,4599999.999999999,46999999999.99998,455
0,0,438,4609999.999999999,47699999999.99998,454
0,0,439,4619999.999999999,48799999999.99998,453
0,0,440,4569999.999999999,46499999999.99998,453
0,0,441,4579999.999999999,47199999999.99998,451
0,0,442,4599999.999999999,48199999999.99998,450
0,0,443,4579999.999999999,47399999999.99998,450
0,0,444,4589999.999999999,48299999999.99998,449
0,0,445,4559999.999999999,47599999999.99998,447
0,0,446,4529999.999999999,46899999999.99998,445
0,0,447,4509999.999999999,46499999999.99998,444
0,0,448,4499999.999999999,47399999999.99998,440
0,0,449,4449999.999999999,46099999999.99998,437
0,0,450,4449999.999999999,46499999999.99998,435
0,0,451,4439999.999999999,46399999999.99998,435
0,0,452,4409999.999999999,45699999999.99998,433
0,0,453,4369999.999999999,44699999999.99998,432
0,0,454,4319999.999999999,44199999999.99998,427
0,0,455,4339999.999999999,44999999999.99998,427
0,0,456,4319999.999999999,44399999999.99998,426
0,0,457,4319999.999999999,44799999999.99998,425
0,0,458,4289999.999999999,43899999999.99998,424
0,0,459,4269999.999999999,43699999999.99998,422
0,0,460,4219999.999999999,42999999999.99998,418
0,0,461,4259999.999999999,44399999999.99998,418
0,0,462,4289999.999999999,45499999999.99998,418
0,0,463,4249999.999999999,45099999999.99998,415
0,0,464,4209999.999999999,43899999999.99998,413
0,0,465,4179999.999999999,43199999999.99998,411
0,0,466,4199999.999999999,43799999999.99998,411
0,0,467,4149999.999999999,42499999999.99998,410
0,0,468,4129999.999999999,42299999999.99998,408
0,0,469,4119999.999999999,42199999999.99998,407
0,0,470,4109999.999999999,42299999999.99998,405
0,0,471,4089999.999999999,42299999999.99998,402
0,0,472,4079999.999999999,42599999999.99998,400
0,0,473,4039999.999999999,41799999999.99999,397
0,0,474,4019999.999999999,41399999999.99999,396
0,0,475,4009999.999999999,41699999999.99998,393
0,0,476,3979999.999999999,40799999999.99999,393
0,0,477,3969999.999999999,41099999999.99998,391
0,0,478,3919999.999999999,40199999999.99998,388
0,0,479,3909999.999999999,39899999999.99999,387
0,0,480,3929999.999999999,41899999999.99998,386
0,0,481,3879999.999999999,39599999999.99999,385
0,0,482,3829999.999999999,38699999999.99999,381
0,0,483,3839999.999999999,38999999999.99999,381
0,0,484,3869999.999999999,40299999999.99999,381
0,0,485,3819999.999999999,38599999999.99999,380
0,0,486,3829999.999999999,39099999999.99999,379
0,0,487,3789999.999999999,38499999999.99999,376
0,0,488,3839999.999999999,40599999999.99998,375
0,0,489,3749999.999999999,38499999999.99999,370
0,0,490,3709999.999999999,38099999999.99999,367
0,0,491,3689999.999999999,37499999999.99999,366
0,0,492,3709999.999999999,38299999999.99999,366
0,0,493,3699999.999999999,37799999999.99999,366
0,0,494,3679999.999999999,37799999999.99999,364
0,0,495,3639999.999999999,36799999999.99999,362
0,0,496,3639999.999999999,36999999999.99999,361
0,0,497,3599999.999999999,36399999999.99999,358
0,0,498,3609999.999999999,36699999999.99999,358
0,0,499,3599999.999999999,36799999999.99999,356
